Soil Type,Rainfall (mm),Temperature (°C),Humidity (%),pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Irrigation Type,Farm Size (hectares),Season,Altitude (m),Region,Sunlight Hours,Water Availability (liters),Recommended Crop
Loam,304.30386936013485,36.04170070322351,69.92448182978325,7.536094003966701,72.53716002348575,64.04472739932528,24.634824724230185,Flood,3.95386842324718,Rainy,741.1050327375119,East,9.261206270244742,2503.0373912158516,Rice
Sandy,881.8648064413311,34.177762003528635,33.94506924258371,5.3905754998503665,11.259046652919446,31.416206383697208,6.325340889867959,Sprinkler,8.858964075594955,Winter,1305.2664388698054,East,11.043215279695163,4929.930604244428,Rice
Loam,733.51587508656,33.70091308921184,82.3150501845322,7.129118250027201,40.77780344061627,95.7971066482454,13.170953520635509,Flood,2.970898337067658,Rainy,96.55889169898447,East,11.300209788185471,3661.619170553016,Rice
Loam,1477.0922019811883,19.140374172941222,40.118671752590586,5.983674125584112,88.63803619601417,3.3423572435503757,85.87449685295802,Flood,11.542774802619705,Rainy,983.6084949549332,South,6.962363250036871,4826.195634916826,Soybean
Sandy,345.65057281846805,12.427578491537565,45.7450191429307,5.607236176242577,4.719670169737899,57.97928438329551,63.37832847472876,Flood,8.268809098883775,Winter,1156.2758738417635,East,8.037438847249017,1805.7859265831753,Cotton
Sandy,717.2122787594641,22.089405362954842,24.066436645624485,6.329130330217611,96.14166196420496,16.65035470495151,25.320116336997668,Sprinkler,6.0496179934504095,Winter,1151.2555253230453,East,8.011339081281431,4455.828112460093,Soybean
Loam,1460.3115632579795,15.20573544959526,27.805854862489348,7.805060216780338,67.91625683195628,71.22202051771586,55.52958253281813,Drip,3.8148013538439267,Winter,1334.8072522885113,East,6.252268776455669,2285.4092232609014,Rice
Clay,1325.1592636621745,30.84853266707385,56.11033318986297,6.372327519166005,63.13759776433766,17.589028341866207,52.75796224253504,Drip,7.039095647790101,Winter,1107.0989271027663,South,9.589426559111379,4958.259232951227,Sugarcane
Loam,1262.193692234064,20.382991796133567,38.73148737095801,7.627693772238695,499.39646790782723,23.538326189835757,65.54359784406613,Drip,12.355207341230669,Winter,1395.3245893891597,East,11.128920317953128,1630.7546882925892,Maize
Loam,535.2736751584218,39.26830602579744,78.4836158019536,5.439202038797028,24.879178873917706,49.43708110457581,23.31875544216163,Drip,11.727811612343526,Winter,532.3520697402926,South,8.289446326953106,3065.359275353306,Sugarcane
Loam,422.15386360708555,29.22916232035996,21.028537205846767,7.704699968827777,94.20582194885955,91.4834949996878,86.44029871943977,Drip,3.6906680040995594,Summer,779.6536542897375,North,10.440215669905061,4171.378135348488,Barley
Loam,,34.674416909030825,46.536583407035536,5.82926663717327,29.827245423412275,21.171437214797084,30.936856208001284,Sprinkler,2.9359363094423516,Summer,70.41551176019148,East,9.76620248160444,2730.5699224161435,Cotton
Sandy,1408.1887858658615,13.975740182255453,43.61418827383649,7.370875954611055,77.55052967189994,14.424002111810353,69.41316539762369,Sprinkler,1.0201968708730142,Summer,60.08850158977226,West,8.253892412958006,2872.3362407505865,Potato
Loam,,35.86043446817868,21.35293416423207,6.980235441943487,39.31217982070792,75.89768318540307,1.612464637221489,Sprinkler,0.7422990789816792,Summer,398.1835996547038,South,6.8463587969537825,4945.423182022964,Rice
Clay,943.0964963108698,37.68271571540183,28.705787930035715,8.252006510240905,13.925407078470398,50.0619532333931,37.26571298941472,Sprinkler,17.656303496533862,Rainy,196.17043585167363,North,10.255943116655803,2701.2326012046133,Tomato
Sandy,563.9728217583695,24.611857564568076,48.95498724430447,6.355628812913599,1.071529769535895,91.17851123817714,35.17098179588083,Sprinkler,1.3792326921051035,Winter,427.3064835068427,South,11.127391013647443,3416.2884023962542,Maize
Clay,1200.340813149518,28.187588132529324,54.50052091132127,5.231578160920542,54.42573370152508,14.661455715984228,54.348442858301446,Sprinkler,14.758811642528302,Rainy,306.7127770661762,South,10.11512695440895,1218.1586427006027,Potato
Clay,443.1568731247804,32.94429402708987,48.30028230784084,5.067044199429385,97.57788185489326,64.59278930230393,7.27362617771965,Sprinkler,17.503709376776662,Winter,91.35403601603994,North,6.107270904208908,4368.84032084104,Sugarcane
Clay,620.7830073255168,15.245158817812376,57.16563748884657,7.894004963404636,36.91361938092045,23.287914615181503,79.01313737261083,Drip,2.412128046967923,Winter,1368.4910122887716,East,7.2973973663459475,3592.672195918174,Maize
Clay,753.0673702013418,25.07698229390327,61.659217243397705,6.836574731815013,35.719233399304485,15.67604286516393,21.778080176756852,Flood,9.007877764743844,Rainy,61.92354051389271,East,6.4168799093011915,2616.080411451254,Soybean
Sandy,859.8934922897915,21.959890833169393,20.694667478948496,7.713354181422322,34.40916178494421,68.34294151572705,67.70378148820102,Sprinkler,19.264908171898394,Summer,1117.319109288774,South,9.42231659745736,1064.678159818079,Potato
Sandy,515.1326521396043,14.391219764867474,52.486661161745275,5.820489600040301,52.054383730485846,59.36846199087332,80.32121232440932,Flood,16.76570388020991,Rainy,270.61443603329894,North,10.538866073042474,3366.6752823740158,Cotton
Clay,349.2878721609646,21.02603266874594,87.44494686213118,6.207793109296318,44.06648834242935,75.48274583623312,56.18769562415131,Sprinkler,10.049228621228174,Rainy,1372.73295189942,East,6.663475122411956,1050.6313139366487,Sugarcane
Clay,993.8060551741223,12.045169281564807,56.33225960906841,5.105363552739616,87.99146267270145,30.946257644618235,74.08832067219855,Sprinkler,15.370136699435282,Winter,1344.5541124053343,South,11.03002692356031,1004.8144556360717,Maize
Sandy,575.2197192123325,10.77435720848461,67.42795872212673,8.365223136009392,50.55207917234903,44.79716563821899,66.18603122150056,Drip,16.750863676417445,Winter,998.1566622354231,West,9.333053870372899,3464.3942485974185,Sugarcane
Sandy,,14.054988674644683,41.83047005418182,7.337537673452847,50.77578381885688,40.547167633041845,35.55297971520076,Flood,7.286525782180026,Winter,1024.7395172108775,North,10.13981407285035,1756.068269338217,Maize
Sandy,400.671529856463,38.89345334767522,74.17939647069338,8.266217807157572,13.83715947205566,98.40894639665142,80.88585390335653,Drip,17.896981878964237,Summer,57.741755856048385,West,11.828411091651876,1767.5501988723813,Maize
Loam,825.4821324112627,26.48588607685051,74.10450373132807,5.9292374260017535,98.27395409103859,29.22489567393879,29.4701369885528,Drip,9.674229733704557,Rainy,1478.063770864723,West,6.502085929486184,3613.086263330975,Potato
Loam,892.3662623170616,38.974664834596595,56.490723335789724,7.140122639289813,24.99728908688297,29.481723834676686,57.12129177515172,Flood,10.792243589397184,Rainy,1322.8572751849308,South,11.407344137866735,1214.788751757497,Sugarcane
Loam,267.37059786915495,22.97493634990396,88.32096762954495,7.3747498890242325,7.336406745960266,35.45482088286074,74.53977391415395,Drip,19.994298937525706,Summer,1347.9040273086334,North,6.756616175924456,2253.6222458982256,Potato
Clay,637.5855616520968,19.35448399255779,28.788515033385735,6.1114239509015595,66.31462489752089,56.45940812903215,37.89559098125076,Sprinkler,16.944407839967145,Rainy,1005.9045787237643,East,8.357752839820094,1597.7276085680762,Barley
Loam,374.7390800206665,25.18425588520732,21.18633654227067,7.968382322554705,59.53663701568727,25.232274426374524,30.276760761742505,Sprinkler,7.55451511257311,Rainy,549.941046549078,East,11.108632177986685,3320.7054791861356,Cotton
Clay,282.38746161459807,23.185350658987304,73.91107482299671,8.315065120150868,41.514565399274574,91.52899403792739,45.934601017282276,Sprinkler,0.701739131217649,Winter,1345.790541181197,South,11.43752542042721,3647.0606189095834,Barley
Clay,1486.9483021069288,13.169940527852317,76.50088761554179,8.096992911936015,42.2192233880678,26.56855648662635,81.79634943491536,Sprinkler,12.710394438980947,Summer,472.6995458192289,East,9.038230041270872,3884.5434143961743,Wheat
Loam,619.0599984671398,29.224789440706186,28.414506038440337,7.586734415787804,78.50639210464311,89.58157315601947,92.99217631456648,Sprinkler,14.226311809498103,Winter,865.9317378461941,East,9.56462782965255,2020.9248676742618,Rice
Clay,,16.48114547528799,38.590798307102425,5.971126379037339,19.571264009964906,10.347506364658464,54.50834128598901,Drip,13.190652457795903,Summer,194.60990989862947,West,10.248884007591343,1356.999006546336,Barley
Loam,531.0328511928931,28.587638646934888,21.228665435664023,5.985656147369711,82.02533189448897,65.65627023996524,66.14662053236519,Drip,19.373315847682655,Winter,1386.8356636924877,West,10.996552010716286,1314.7346277675913,Soybean
Loam,1085.953538891108,29.5060327719446,40.53160275463953,8.371761121561132,64.87471138950181,90.69855184382438,90.32736222389141,Sprinkler,17.327935032976814,Rainy,254.11716376825933,North,6.729067017225997,2704.606193802895,Cotton
Sandy,,14.560745593859444,74.119931174307,5.035995735774922,41.89697737795244,16.874943839822954,9.85468514129424,Sprinkler,9.252218017022646,Summer,376.1003683090905,West,10.860415849375366,4783.37763625086,Rice
Loam,974.3303627901976,11.840488813320045,56.25723693988053,,45.80286165838686,96.8326960099255,23.207857786616504,Drip,1.7257210057114287,Summer,859.2945292859117,East,8.8876569030697,1870.9161369880985,Potato
