,Soil Type,Rainfall (mm),Temperature (°C),Humidity (%),pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Irrigation Type,Farm Size (hectares),Season,Altitude (m),Region,Sunlight Hours,Water Availability (liters),Recommended Crop
0,Loam,304.30386936013485,36.04170070322351,69.92448182978325,7.536094003966701,72.53716002348575,64.04472739932528,24.634824724230185,Flood,3.95386842324718,Rainy,741.1050327375119,East,9.261206270244742,2503.037391215852,Rice
1,Sandy,881.8648064413311,34.177762003528635,33.94506924258371,5.390575499850367,11.259046652919446,31.416206383697208,6.325340889867959,Sprinkler,8.858964075594955,Winter,1305.2664388698054,East,11.043215279695165,4929.930604244428,Rice
2,Loam,733.51587508656,33.70091308921184,82.3150501845322,7.129118250027201,40.77780344061627,95.7971066482454,13.170953520635509,Flood,2.970898337067658,Rainy,96.55889169898448,East,11.300209788185471,3661.619170553016,Rice
3,Loam,1477.0922019811885,19.140374172941225,40.118671752590586,5.983674125584112,88.63803619601417,3.342357243550376,85.87449685295802,Flood,11.542774802619704,Rainy,983.6084949549332,South,6.962363250036871,4826.195634916826,Soybean
4,Sandy,345.65057281846805,12.427578491537565,45.7450191429307,5.607236176242577,4.719670169737899,57.97928438329551,63.37832847472876,Flood,8.268809098883775,Winter,1156.2758738417635,East,8.037438847249017,1805.7859265831755,Cotton
5,Sandy,717.2122787594641,22.08940536295484,24.066436645624485,6.329130330217611,96.14166196420496,16.65035470495151,25.320116336997668,Sprinkler,6.0496179934504095,Winter,1151.2555253230453,East,8.011339081281431,4455.828112460093,Soybean
6,Loam,1460.3115632579795,15.20573544959526,27.805854862489348,7.805060216780338,67.91625683195628,71.22202051771586,55.52958253281813,Drip,3.814801353843927,Winter,1334.807252288511,East,6.252268776455669,2285.4092232609014,Rice
7,Clay,1325.1592636621745,30.84853266707385,56.11033318986297,6.372327519166005,63.13759776433766,17.589028341866207,52.75796224253504,Drip,7.039095647790101,Winter,1107.0989271027663,South,9.58942655911138,4958.259232951227,Sugarcane
8,Loam,1262.193692234064,20.382991796133567,38.73148737095801,7.627693772238695,499.3964679078272,23.53832618983576,65.54359784406613,Drip,12.355207341230669,Winter,1395.3245893891597,East,11.128920317953128,1630.7546882925892,Maize
9,Loam,535.2736751584218,39.26830602579744,78.4836158019536,5.439202038797028,24.879178873917706,49.43708110457581,23.31875544216163,Drip,11.727811612343526,Winter,532.3520697402926,South,8.289446326953106,3065.359275353306,Sugarcane
10,Loam,422.1538636070856,29.22916232035996,21.028537205846767,7.704699968827777,94.20582194885957,91.4834949996878,86.44029871943977,Drip,3.69066800409956,Summer,779.6536542897375,North,10.44021566990506,4171.378135348488,Barley
11,Loam,456.33135336347505,34.674416909030825,46.536583407035536,5.82926663717327,29.827245423412275,21.171437214797084,30.936856208001284,Sprinkler,2.935936309442352,Summer,70.41551176019148,East,9.76620248160444,2730.5699224161435,Cotton
12,Sandy,1408.1887858658615,13.975740182255452,43.61418827383649,7.370875954611055,77.55052967189994,14.424002111810353,69.41316539762369,Sprinkler,1.0201968708730142,Summer,60.08850158977226,West,8.253892412958006,2872.3362407505865,Potato
13,Loam,206.9675553317318,35.86043446817868,21.35293416423207,6.980235441943487,39.31217982070792,75.89768318540307,1.612464637221489,Sprinkler,0.7422990789816792,Summer,398.1835996547038,South,6.846358796953783,4945.423182022964,Rice
14,Clay,943.0964963108698,37.68271571540183,28.705787930035715,8.252006510240905,13.925407078470398,50.0619532333931,37.26571298941472,Sprinkler,17.656303496533862,Rainy,196.17043585167363,North,10.255943116655803,2701.2326012046133,Tomato
